zip,city,street,state,visited
28904,HAYESVILLE,136 Sanderson St,NC,false
28635,HAYS,5465 Mountain View Rd,NC,false
27536,HENDERSON,905 S Garnett St,NC,true
28739,HENDERSONVILLE,90 LAKEWOOD RD,NC,false
27842,HENRICO,1458 RIVER RD,NC,true
28076,HENRIETTA,2946 Harris Henrietta Rd,NC,false
27944,HERTFORD,115 W Grubb St,NC,false
28601,HICKORY,231 GOVERNMENT AVE SW,NC,false
28636,HIDDENITE,5181 NC-90 E,NC,false
27259,HIGH FALLS,1368 NC-22,NC,false
27260,HIGH POINT,315 E GREEN DR,NC,true
28077,HIGH SHOALS,511 N Lincoln St,NC,false
28741,HIGHLANDS,43 DILLARD RD,NC,false
28637,HILDEBRAN,511 US Highway 70 W,NC,false
27278,HILLSBOROUGH,144 E KING ST,NC,true
27946,HOBBSVILLE,385 Hobbsville Rd,NC,false
27843,HOBGOOD,218 E Commerce St,NC,true
28537,HOBUCKEN,51 School House Loop Rd,NC,true
28347,HOFFMAN,2717 N Us 1 Hwy,NC,true
27844,HOLLISTER,231 Gibbs Ave,NC,true
28445,HOLLY RIDGE,213 Holly St,NC,false
27540,HOLLY SPRINGS,112 3rd St,NC,true
28538,HOOKERTON,116 S 3rd St,NC,true
28348,HOPE MILLS,3215 N MAIN ST,NC,false
28742,HORSE SHOE,3740 Brevard Rd,NC,false
28743,HOT SPRINGS,111 Bridge St,NC,true
28539,HUBERT,382 Hubert Blvd,NC,false
28638,HUDSON,101 Fairway Ave,NC,false
28078,HUNTERSVILLE,400 GILEAD RD,NC,false
27541,HURDLE MILLS,9581 Hurdle Mills Rd,NC,true
28666,ICARD,3462 Miller Bridge Rd,NC,false
28079,INDIAN TRAIL,210 Postage Way,NC,false
28080,IRON STATION,4832 E NC-27,NC,false
28447,IVANHOE,4109 Ivanhoe Rd,NC,false
27845,JACKSON,104 Atherton St,NC,true
27281,JACKSON SPRINGS,2411 Jackson Springs Rd,NC,false
28540,JACKSONVILLE,719 NEW BRIDGE ST,NC,false
27282,JAMESTOWN,203 E MAIN ST,NC,true
